房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
古龙明珠 上下错满五 无按揭产权清晰,https://xm.lianjia.com/ershoufang/105116814079.html,3室2厅,102.19平米,东北 南,简装,古龙明珠,集美文教区,2人关注 / 1个月以前发布,324,"31,706元/平",images\house_1_0.jpg
银江路 3室2厅 南 北,https://xm.lianjia.com/ershoufang/105115692828.html,3室2厅,102.59平米,南 北,简装,银江路,集美文教区,6人关注 / 5个月以前发布,210,"20,470元/平",images\house_1_1.jpg
此房楼层好，采光好，好改2房，环境优美,https://xm.lianjia.com/ershoufang/105114687679.html,1室1厅,55.28平米,西 北,简装,云顶花园,金鸡亭,2人关注 / 8个月以前发布,188,"34,009元/平",images\house_1_2.jpg
岳阳成熟社区，自带幼儿园、小·学、菜市场小区2千户,https://xm.lianjia.com/ershoufang/105116591165.html,2室1厅,72.74平米,南,简装,岳阳西里,岳阳社区,0人关注 / 1个月以前发布,269,"36,982元/平",images\house_1_3.jpg
房格局方正， 框架结构，采光好，通风佳， 近地铁口,https://xm.lianjia.com/ershoufang/105115338117.html,2室2厅,70.67平米,南,简装,禹洲新村,南山路,3人关注 / 6个月以前发布,239,"33,820元/平",images\house_1_4.jpg
"SM,交通方便，电梯房自住装修房型方正",https://xm.lianjia.com/ershoufang/105116713431.html,3室2厅,88.26平米,南 北,精装,中港花园,SM,2人关注 / 1个月以前发布,355,"40,223元/平",images\house_1_5.jpg
北站新城际广场 毛坯两房有附面积可自由设计,https://xm.lianjia.com/ershoufang/105111967119.html,2室2厅,90.47平米,东南,毛坯,新城际广场二期,厦门北站商业区,3人关注 / 一年前发布,140,"15,475元/平",images\house_1_6.jpg
地铁口精装修单身公寓，业主诚意出售。,https://xm.lianjia.com/ershoufang/105116621811.html,1室0厅,28.38平米,南,精装,欣华花园,湖里大道,1人关注 / 1个月以前发布,105,"36,998元/平",images\house_1_7.jpg
城西洋坂里，大三房，楼层佳，100米有地铁小西门站,https://xm.lianjia.com/ershoufang/105116532729.html,3室2厅,125.46平米,南,简装,洋坂里,同安其它,1人关注 / 1个月以前发布,99.99,"7,970元/平",images\house_1_8.jpg
高层3房  三面采光  新婚装修  全明户型,https://xm.lianjia.com/ershoufang/105114518365.html,3室2厅,116.98平米,东 南 北,精装,新莲花新龙山花园,莲花,5人关注 / 9个月以前发布,698,"59,669元/平",images\house_1_9.jpg
